"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/pages/publications/105045163090?origin=resultslist","Adaptive control; ECMS-CESO; Energy management strategy; Fuel economy; Hybrid electric vehicle","Adaptive control systems; Charging (batteries); Combustion; Electric load flow; Electric machine control; Energy management; MATLAB; Model predictive control; Optimal control systems; Power control; Predictive control systems; Adaptive Control; ECMS-CESO; Energy; Energy management strategy; Internal combustion; Management strategies; Power splits; Real- time; Real-time energy management; Series hybrid electric vehicles; Fuel economy; Hybrid vehicles"
"https://www.scopus.com/pages/publications/105048329443?origin=resultslist","economic–environmental and technical problem; Honey Formation Optimization; MO-EHFO; MO-HFO; multi-objective optimal power flow; renewable energy sources","Multiobjective optimization; Natural resources; Pareto principle; Renewable energy; Renewable fuels; Stochastic systems; Economic–environmental and technical problem; Formation optimization; Honey formation optimization; MO-HFO; Multi objective; Multi-objective enhanced honey formation optimization; Multi-objective optimal power flow; Optimization algorithms; Renewable energy source; Decision support systems"
"https://www.scopus.com/pages/publications/105042050451?origin=resultslist","Fuel Cell Modeling; Modified Draco Lizard Optimizer; Parameter Extraction; PEM Fuel Cell","fuel; proton; algorithm; article; controlled study; hybridization; lizard; membrane; metaheuristics; moss; nonhuman; simulation; velocity"
"https://www.scopus.com/pages/publications/105048694282?origin=resultslist","Diving algorithm; Inactive network constraints identification; Infeasible solution repair; Large language model; Network-constrained unit commitment (NCUC)","Computational efficiency; Computational linguistics; Constrained optimization; Evolutionary algorithms; Diving algorithm; Inactive network constraint identification; Infeasible solution repair; Infeasible solutions; Language model; Large language model; Network constraints; Network-constrained unit commitment; Solution repair; Unit Commitment; algorithm; heuristics; machine learning; optimization; repair; training; Heuristic methods"
"https://www.scopus.com/pages/publications/105043284331?origin=resultslist","AC optimal power flow; Graph neural networks; Power system optimization; Residual learning","Electric load flow; Topology; AC optimal power flow; Correction models; Graph neural networks; Learning frameworks; Linear approximations; Optimal power flows; Power systems optimizations; Power-flow solution; Residual correction; Residual learning; Decision making"
"https://www.scopus.com/pages/publications/105045658375?origin=resultslist","L-index stability; Loading margin; Sulbagsel system; VAr injection; Voltage stability",""
"https://www.scopus.com/pages/publications/105041196525?origin=resultslist","Model evaluation; Modeling decisions; Uncertainty assessment; Uncertainty sources; Water quality modeling","Quality control; Reliability analysis; Assessment approaches; Data limitations; Model evaluation; Modeling decisions; Paradigm shifts; Process complexity; Uncertainty; Uncertainty assessment; Uncertainty sources; Water quality modelling; communication; complexity; hydrological modeling; paradigm shift; scenario analysis; uncertainty analysis; water quality; Uncertainty analysis"
"https://www.scopus.com/pages/publications/105039670343?origin=resultslist","Australia; Battery energy storage system; Home energy management system; PV; Reinforcement learning; SDG 7","Battery management systems; Battery storage; Behavioral research; Cost effectiveness; Energy policy; Genetic algorithms; Housing; Investments; Linear programming; Markov processes; Outages; Secondary batteries; Solar energy; Solar power generation; Australia; Battery energy storage systems; Electricity costs; Energy; Home energy management systems; Photovoltaics; Photovoltaics generations; Reinforcement learnings; Residential photovoltaic; Sustainable development goal 7; Economic and social effects"
"https://www.scopus.com/pages/publications/105046878188?origin=resultslist","CDiffusion; CGAN; Conditional generative machine learning; CVAE; Model predictive control; Wind power","Electric load dispatching; Forecasting; Gas generators; Learning systems; Machine learning; Meteorology; Optimization; Power control; Predictive control systems; Ramp generators; Wind power; Cdiffusion; CGAN; Conditional generative machine learning; Control optimization; CVAE; Generative model; Machine-learning; Model-predictive control; Optimization framework; Power; Model predictive control"
"https://www.scopus.com/pages/publications/105034818658?origin=resultslist","Feature selection; Global optimization; Harris hawks optimization; Medical diagnosis; Metaheuristics; Wrapper-based feature selection","article; diagnosis; feature selection; hawk; human; intravenous drug administration; metaheuristics; radiotherapy"
"https://www.scopus.com/pages/publications/105039703694?origin=resultslist","Bilevel optimization; Capacity expansion planning; Electricity market; Gradient descent; Stochastic optimization","Costs; Expansion; Investments; Optimal systems; Optimization; Power markets; Bi-level optimization; Bilevel; Capacity expansion planning; Electricity grids; Expansion planning; Gradient's methods; Gradient-descent; Grid expansions; Optimal solutions; Stochastic optimizations; algorithm; battery; differentiation; electricity generation; electrification; energy market; energy planning; energy storage; market conditions; optimization; stochasticity; Gradient methods; Stochastic systems"
"https://www.scopus.com/pages/publications/105032693124?origin=resultslist","Deep reinforcement learning; inactive constraint; look-ahead economic dispatch; N-1 contingency","Behavioral research; Learning algorithms; Markov processes; Optimization; Renewable energy; Decisions makings; Economic Dispatch; Fast solving; Inactive constraint; Look-ahead economic dispatch; Model-driven; N-1 contingencies; N-1 security constraints; Reinforcement learnings; Solving method; Decision making"
"https://www.scopus.com/pages/publications/105041621936?origin=resultslist","Evolutionary algorithm; Feature selection; Gaussian mixture model; Osteonecrosis; Slime mould algorithm; Systemic lupus erythematosus","Benchmarking; Computer aided diagnosis; Eigenvalues and eigenfunctions; Evolutionary algorithms; Gaussian distribution; Information retrieval; Optimization; Clinical features; Complex information; Features selection; Gaussian Mixture Model; Osteonecrosis; Redundant data; Risk factors; Slime mold algorithm; Slime moulds; Systemic lupus erythematosus; algorithm; Article; benchmarking; bone necrosis; computer assisted diagnosis; controlled study; diagnostic accuracy; diagnostic test accuracy study; evolutionary algorithm; feature selection; female; Gaussian mixture model; human; information processing; major clinical study; male; model; noise; prediction; risk factor; screening; sensitivity and specificity; slime mould algorithm; systemic lupus erythematosus; Feature extraction"
"https://www.scopus.com/pages/publications/105039312271?origin=resultslist","Energy conversion and management; Hybrid grids; Power distribution systems; Power electronics; Renewable energy integration","Degrees of freedom (mechanics); Distribution transformers; Electric power transmission networks; Electric utilities; Energy conversion; Hybrid power; Power control; Power electronics; Power quality; Quality control; Quality management; Reactive power; Renewable energy; Semiconductor devices; Topology; Control strategies; Design frameworks; Energy; Hybrid grids; Power-distribution system; Power-electronics; Renewable energy integrations; State-transformers; Structured design; Transformer design; Economic and social effects"
"https://www.scopus.com/pages/publications/105042278119?origin=resultslist","Cyber-physical systems; Cybersecurity; Deep learning; False data injection attacks (FDIA); Physics-informed neural networks; Power system state estimation",""
"https://www.scopus.com/pages/publications/105049196143?origin=resultslist","Battery lifetime; Efficiency enhancement; Electric vehicles; Energy management; Flux optimization","lithium ion; aging; article; benchmarking; electric potential; energy; energy conservation; fatigue; hybrid; lifespan; mitigation; simulation"
"https://www.scopus.com/pages/publications/105046363199?origin=resultslist","Constraint learning; Demand-side flexibility; Distributed thermal energy storage; District cooling system; Model distillation; Surrogate model","Cooling; Cooling systems; Cost effectiveness; Data storage equipment; Fuel additives; Integer programming; Learning algorithms; Learning systems; Mixed-integer linear programming; Thermal energy; Constraint learning; Day-ahead; Demand-side; Demand-side flexibility; Distributed thermal energy storage; Distributed water; District cooling system; Model distillation; Surrogate modeling; Thermal energy storage; accuracy assessment; cooling; demand-side management; distillation; energy storage; optimization; surrogate method; thermal power; water supply; Distillation"
"https://www.scopus.com/pages/publications/105048502414?origin=resultslist","Optimization; P2G by-products; Photovoltaic; Power-to-gas; Water management","Commerce; Electric energy storage; Energy resources; Hydrogen production; Hydrogen storage; Optimal systems; Oxygen; Recovery; Sales; Solar power generation; Stochastic systems; Waste utilization; Water absorption; Water supply; By-product utilization; Electrolyzers; Integrated energy systems; Optimisations; P2G by-product; Photovoltaics; Power; Power-to-gas; Water consumption; Waters managements; Optimization; Water management"
"https://www.scopus.com/pages/publications/105042637815?origin=resultslist","Battery energy storage systems; Energy management system; Forecast-driven energy scheduling; Forecasting; Multi-objective optimization; Net Zero Microgrids; Optimal dispatch; Renewable energy integration; Rooftop photovoltaic","Battery management systems; Battery storage; Digital storage; Electric load dispatching; Error correction; Microgrids; Multiobjective optimization; Secondary batteries; Solar power generation; Storage management; Battery energy storage systems; Energy; Forecast-driven energy scheduling; Management systems; Microgrid; Multi-objectives optimization; Net zero microgrid; Optimal dispatch; Photovoltaics; Renewable energy integrations; Rooftop photovoltaic; Forecasting"
"https://www.scopus.com/pages/publications/105049047366?origin=resultslist","Cyber-physical energy systems; Distributed energy intelligence; Federated learning; Privacy-preserving learning; Renewable energy systems","Cyber Physical System; Distributed energy; Electric load forecasting; Energy efficiency; Energy management systems; Federated learning; Hierarchical systems; Learning algorithms; Learning systems; Machine learning; Power management; Privacy-preserving techniques; Renewable energy; Renewable fuels; Cybe-physical energy system; Cyber physicals; Distributed energies; Distributed energy intelligence; Energy systems; Physical energy; Privacy preserving; Privacy-preserving learning; Renewable energies; Renewable energy system; Benchmarking"
"https://www.scopus.com/pages/publications/105035492413?origin=resultslist","AC optimal power flow; active constraints; bilevel optimization; classification metric evaluation; ML-based surrogate","Complex networks; Constraint theory; Fuel additives; Graph structures; Graphic methods; Mixed-integer linear programming; Shape optimization; Structural optimization; Topology; AC optimal power flow; Active constraints; Bi-level optimization; Classification metric evaluation; Graph neural networks; Metric evaluation; ML-based surrogate; Optimal power flows; Power system scheduling; Surrogate modeling; Integer programming"
"https://www.scopus.com/pages/publications/105045178221?origin=resultslist","Energy storage; Incentive-based demand response; Mixed-integer linear model; Phase-shifting transformer; Stochastic network-constrained unit commitment; Voltage stability","Benchmarking; Constrained optimization; Cost accounting; Cost benefit analysis; Data storage equipment; Demand response; Economic analysis; Energy storage; Integer programming; Mixed-integer linear programming; Operating costs; Stochastic models; Stochastic programming; Stochastic systems; Voltage control; Wind power; Energy; Incentive-based demand response; Linear modeling; Mixed integer linear; Mixed-integer linear model; Phaseshifting transformer (PST); Stochastic network-constrained unit commitment; Stochastic networks; Uncertainty; Unit Commitment; Economic and social effects"
"https://www.scopus.com/pages/publications/105030388875?origin=resultslist","Cell membrane genetic optimization algorithm; Distributed energy resources; Fault segment location; Negative-sequence component","Complex networks; Computational efficiency; Dimensionality reduction; Distributed energy; Electric fault location; Electric power distribution; Energy resources; Integration; Location; Power distribution faults; Power distribution networks; Bidirectional power flow; Cell membrane genetic optimization algorithm; Distributed Energy Resources; Distributed power sources; Fault sections; Fault segment location; Genetic optimization algorithm; Location method; Negative sequence components; Network-based; Genetic algorithms"
"https://www.scopus.com/pages/publications/105027276763?origin=resultslist","Capacity estimation; Scenario reduction; Virtual power plant optimization; Wind and solar power forecasting","article; convolutional neural network; deep learning; diagnosis; electric power plant; energy resource; forecasting; hybrid; long short term memory network; renewable energy; simulation; wind; wind speed; winter"
"https://www.scopus.com/pages/publications/105036505335?origin=resultslist","Computational risk assessment (CRA); Cyber-physical systems; Grey-box modelling; Hierarchical modelling; Value-of-information (VoI)","Cyber Physical System; Embedded systems; Hierarchical systems; Information theory; Risk assessment; Computational risk assessment; Computational risks; Cybe-physical systems; Cyber-physical systems; Gray-box models; Grey-box models; Hierarchical model; Risks assessments; Value of information; Value-of-information; Economic and social effects"
"https://www.scopus.com/pages/publications/105048889173?origin=resultslist","Collaborative Data Center Demand Response; Multi-Party Computation; Privacy","Data centers; Demand response; Distributed computer systems; Electric load dispatching; Optimization; Privacy-preserving techniques; Sensitive data; Collaborative data center demand response; Datacenter; Demand response; Multiparty computation; Power dispatch; Power grids; Privacy; Privacy preserving; Rapid growth; Real-time demand response; Polynomial approximation"
"https://www.scopus.com/pages/publications/105043375319?origin=resultslist","Critical state detection; Distribution system; Machine learning; Probabilistic forecasting; Spatio-temporal modeling","Critical current density (superconductivity); Forecasting; Machine learning; Neural networks; Probability distributions; Spatio-temporal data; Critical state detection; Critical-state; Distribution systems; Machine-learning; Probabilistic forecasting; Spatio-temporal; Spatio-temporal models; State Detection; State Forecasting; System state; Learning systems"
"https://www.scopus.com/pages/publications/105045044811?origin=resultslist","Cooperative game; Distributed optimization; Integrated electricity and gas system; Monotone variational inequality","Distributed computer systems; Game theory; Gases; Piecewise linear techniques; Robustness (control systems); Variational techniques; Cooperative game; Distributed optimization; Electricity and gas; Electricity system; Gas models; Gas systems; Integrated electricity and gas system; Monotone variational inequality; Optimal power; Variational inequalities; algorithm; decision making; energy management; energy market; gas; natural gas; numerical model; optimization; Computational efficiency"
"https://www.scopus.com/pages/publications/105046318357?origin=resultslist","Adaptive relaying; AI decision authority; Evidence maturity; Explainable AI; Hardware-in-the-loop validation; Inverter-based resources; Lifecycle governance; Power system protection; Protection-grade artificial intelligence; Wide-area protection","Benchmarking; Data streams; Electric fault currents; Electric power system protection; Electric substations; Relay control systems; Relay protection; Wide area networks; Adaptive relaying; AI decision authority; Evidence maturity; Explainable AI; Hardware in the loops; Hardware-in-the-loop validation; Inverter-based; Inverter-based resource; Lifecycle governance; Power system protection; Protection-grade artificial intelligence; Wide area protection; Decision support systems"
"https://www.scopus.com/pages/publications/105045037168?origin=resultslist","Concentrated solar power; Machine learning; Techno economic optimization; Thermochemical energy storage","Concentrated solar power; Decision trees; Digital storage; Economic analysis; Economic and social effects; Forestry; Global optimization; Machine learning; Neural networks; Solar concentrators; Storage (materials); Concentrated solar power; Economic optimization; Economic performance; Energy storage materials; Levelized cost of electricities; Machine-learning; Property; Techno economic optimization; Techno-economics; Thermochemical energy storage; Learning systems; Solar energy"
"https://www.scopus.com/pages/publications/105036693832?origin=resultslist","Power system operation; renewable energy; scenario reduction; statistical distance; stochastic optimization; uncertainty","Cost effectiveness; Cost reduction; Iterative methods; Natural resources; Optimization; Renewable energy; Stochastic systems; Uncertainty analysis; Effective solution; Power system operations; Renewable energies; Renewable energy generation; Scenario reductions; Statistical distance; Stochastic optimal power flows; Stochastic optimization methods; Stochastic optimizations; Uncertainty; Stochastic models"
"https://www.scopus.com/pages/publications/105041616213?origin=resultslist","Complex systems; Constraints; Nano-interfaces; Nanomaterials; Sensor intelligence; Unsupervised machine learning","Anomaly detection; Data privacy; Ecosystems; Federated learning; Independent component analysis; Interfaces (materials); Learning algorithms; Learning systems; Nanosensors; Nonlinear analysis; Principal component analysis; Stochastic systems; Unsupervised learning; nanomaterial; quantum dot; Antimicrobial resistances; Climate instability; Constraint; High-dimensional; Large-scales; Nano-interface; Nano-structured; Nanostructured sensors; Sensor intelligence; Unsupervised machine learning; antibiotic resistance; artificial intelligence; autoencoder; blind source separation; data mining; drug analysis; ecosystem; environmental noise; federated learning; human; hysteresis; independent component analysis; intelligence; kinetics; learning algorithm; manifold learning; nanosensor; outlier detection; pandemic; principal component analysis; review; sensor; unsupervised machine learning; Blind source separation; Nanostructured materials"
"https://www.scopus.com/pages/publications/105046483985?origin=resultslist","Cat Reflex Optimization; CEC benchmarks; Constrained engineering design; Exploration–exploitation balance; Metaheuristic optimization; Swarm intelligence","Benchmarking; Constrained optimization; Cat reflex optimization; CEC benchmark; Constrained engineering design; Engineering design; Exploration/exploitation; Exploration–exploitation balance; Metaheuristic; Metaheuristic optimization; Multi-stages; Optimisations; Swarm intelligence"
"https://www.scopus.com/pages/publications/105039320916?origin=resultslist","Bibliometrix; Game theory; Resilience; Road networks; Systematic literature review (SLR); Vulnerability","Costs; Decision theory; Economic and social effects; Economics; Highway planning; International cooperation; Investments; Motor transportation; Reviews; Risk assessment; Roads and streets; Traffic control; Transportation routes; Bibliometrics analysis; Bibliometrix; Game-theoretic model; Network resilience; Network vulnerability; Resilience; Road network; Systematic literature review; Vulnerability; Game theory"
"https://www.scopus.com/pages/publications/105037731978?origin=resultslist","Atomic-level interface engineering; Carbon-metal ensemble; Electrocatalytic energy conversion; Oxygen evolution reaction (OER); Transition metals",""
"https://www.scopus.com/pages/publications/105048875080?origin=resultslist","DC optimal power flow; Dynamic thermal line rating; Safe reinforcement learning; Shared autonomous electric vehicles; Vehicle-to-grid; Wind curtailment","Autonomous vehicles; Benchmarking; Electric lines; Electric machine control; Electric power system control; Electric vehicles; Fleet operations; DC optimal power flow; Dynamic thermal line ratings; Line ratings; Optimal power flows; Reinforcement learnings; Rule based; Safe reinforcement learning; Shared autonomous electric vehicle; Vehicle to grids; Wind curtailment; electric vehicle; machine learning; mitigation; optimization; rating curve; smart grid; wind power; Wind power"
"https://www.scopus.com/pages/publications/105044871475?origin=resultslist","Differential Evolution; Exploration-exploitation balance; Hybrid metaheuristic; Particle swarm optimization; Phasor Theory; Quantum-inspired methods","Quantum chaos; Random processes; Differential Evolution; Exploration-exploitation balance; Exploration/exploitation; Hybrid metaheuristics; Particle swarm; Particle swarm optimization; Phasor theory; Phasors; Quantum-inspired method; Swarm optimization; Particle swarm optimization (PSO)"
"https://www.scopus.com/pages/publications/105032811704?origin=resultslist","constraint learning; Electric vehicle charging; power distribution-transportation coordinated optimization; tree-based model","Charging (batteries); Constraint theory; Electric charge; Electric power distribution; Electric vehicles; Forestry; Power distribution networks; Transportation routes; Trees (mathematics); Constraint learning; Coordinated optimization; Electric vehicle charging; Power distribution network; Power distribution-transportation coordinated optimization; Power distributions; Transportation network; Tree-based model; Trees-based models; Vehicle charging; Linear programming"
"https://www.scopus.com/pages/publications/105045409516?origin=resultslist","District heating networks; Modeling approaches; Renewable energy sources","Economics; Hybrid systems; Integration; Investments; Natural resources; Renewable energy; Reviews; Decarbonisation; District heating networks; Energy model; Integration and modeling; Integration approach; Modeling approach; Modelling techniques; Performance; Renewable energy integrations; Renewable energy source; Environmental management"
"https://www.scopus.com/pages/publications/105042853746?origin=resultslist","Hyper-connections; Large language model; Renewable energy generation forecasting; Unified prediction model","Data mining; Deep learning; Prediction models; Renewable energy; Renewable fuels; Semantics; Technological forecasting; Hyper-connection; Language model; Large language model; Model-based OPC; Multi-scales; Prediction modelling; Renewable energies; Renewable energy generation; Renewable energy generation forecasting; Unified prediction model; accuracy assessment; alternative energy; forecasting method; machine learning; numerical model; power generation; Modeling languages"
"https://www.scopus.com/pages/publications/105043767636?origin=resultslist","","accuracy; algorithm; article; degradation; duration; electric potential; quantization; reconstruction algorithm; sensitivity analysis; time series analysis"
"https://www.scopus.com/pages/publications/105042875219?origin=resultslist","Bayesian inference; HVDC; PMUs; State estimation","Bayesian networks; Constrained optimization; HVDC power transmission; Inference engines; Information fusion; Power converters; Power electronics; Bayesian inference; Bayesian information; DC networks; Heterogeneous data sources; High-Voltage Direct Current; Natural consequences; Operating condition; PMU; State estimation methods; Unbalanced operations; State estimation"
"https://www.scopus.com/pages/publications/105039006859?origin=resultslist","Centralized control strategy; Converter; Grid-following inverter; Grid-forming inverter; Master-slave control; Microgrid; Renewable energy sources; Smart grids","Electric inverters; Electric power system control; Electric power transmission networks; Microgrids; Power control; Renewable energy; Smart power grids; Centralized control; Centralized control strategy; Control strategies; Converter; Grid-following inverter; Grid-forming inverter; Master/slave control; Microgrid; Renewable energy source; Smart grid; Controllers"
"https://www.scopus.com/pages/publications/105038655319?origin=resultslist","Forced air-cooled systems (FACS); low air pressure; online condition monitoring; virtual thermal time constant of fluid (VTTCF); without power loss measurement","Air; Cooling systems; Ducts; Electric inverters; Electric losses; Heat convection; Online systems; Air cooled systems; Condition; Forced air-cooled system; Forced airs; Lower air pressure; Online condition monitoring; Power loss measurement; Thermal time constants; Virtual thermal time constant of fluid; Without power loss measurement; Atmospheric pressure; Condition monitoring"
"https://www.scopus.com/pages/publications/105043089532?origin=resultslist","Gaussian process surrogate model; Interpretable machine learning; Reinforcement cost optimization; Seismic resilience; Traction power supply system","Cost effectiveness; Data mining; Earthquakes; Electric power supplies to apparatus; Gaussian distribution; Gaussian noise (electronic); Investments; Learning systems; Reinforcement; Reinforcement learning; Repair; Costs Optimization; Gaussian process surrogate model; Gaussian Processes; Interpretable machine learning; Machine-learning; Reinforcement cost optimization; Reinforcement strategies; Seismic resilience; Surrogate modeling; Traction power supply system; Monte Carlo methods"
"https://www.scopus.com/pages/publications/105030481536?origin=resultslist","Feature selection; Heap based optimizer; High-dimensional data; Medical diagnosis; Metaheuristics","Algorithms; Data Mining; Humans; Neoplasms; Oligonucleotide Array Sequence Analysis; algorithm; data mining; diagnosis; DNA microarray; genetics; human; neoplasm; procedures"
"https://www.scopus.com/pages/publications/105043037905?origin=resultslist","Bus connectivity; Line parameter estimation; Low-voltage distribution networks; Phase identification; Substation allocation; Topology identification","Electric power distribution; Graph theory; Learning systems; Network topology; Observability; Renewable energy; Bus connectivity; Data driven; Future perspectives; Line parameter estimation; Line parameters; Low voltage distribution network; Parameters estimation; Phase identification; Substation allocation; Topology identification; Parameter estimation"
"https://www.scopus.com/pages/publications/105029236245?origin=resultslist","Energy management system; Improved Whale Optimization; Microgrids; Renewable energy resources","algorithm; article; benchmarking; Cetacea; controlled study; diagnosis; electric potential; energy conservation; energy demand; energy resource; human; prematurity; renewable energy; renewable resource; simulation; swimming"
"https://www.scopus.com/pages/publications/105048137738?origin=resultslist","Automatic algorithm design; Convergence analysis; Machine learning; Markov decision process; Natural evolution strategies","Behavioral research; Data mining; Decision theory; Evolutionary algorithms; Learning algorithms; Momentum; Optimization; Problem solving; Sampling; Algorithm design; Automatic algorithm design; Automatic algorithms; Convergence analysis; Evolution strategies; Machine-learning; Markov Decision Processes; Natural evolution; Natural evolution strategy; Performance; Learning systems"
"https://www.scopus.com/pages/publications/105048465185?origin=resultslist","Differential Evolution; Genetic Algorithms; Multiquadric radial basis functions; Particle Swarm Optimization; Simulated Annealing","Benchmarking; Domain decomposition methods; Function evaluation; Heuristic algorithms; MATLAB; Partial differential equations; Singular value decomposition; Differential Evolution; Ill-conditioned linear systems; Irregular domains; Metaheuristic; Multiple crossover; Multiquadric radial basis function; Partial differential; Particle swarm; Particle swarm optimization; Swarm optimization; Genetic algorithms; Particle swarm optimization (PSO); Radial basis function networks; Simulated annealing"
"https://www.scopus.com/pages/publications/105042350660?origin=resultslist","Energy storage systems; Nonlinear programming; Optimal power flow; Power system contingency analysis; Renewable energy integration; Security-Constrained optimal power flow","Computational efficiency; Constrained optimization; Control nonlinearities; Data storage equipment; Electric power system security; Energy storage; Nonlinear equations; Reactive power; Renewable energy; Scalability; Contingency analysis; Energy; Energy storage system; Optimal power flows; Power; Power system contingency analyze; Renewable energy integrations; Security-constrained optimal power flow; Storage systems; System contingencies; Nonlinear programming"
"https://www.scopus.com/pages/publications/105028189942?origin=resultslist","Black-winged kite algorithm; Blended opposition based learning; Engineering optimization problems; Meta-heuristic algorithms; Midpoint mutation strategy","algorithm; article; benchmarking; computer heuristics; controlled study; human; learning; memory; metaheuristics; mutation; prematurity; rank sum test; shade"
"https://www.scopus.com/pages/publications/105026339556?origin=resultslist","","Benchmarking; Combinatorial optimization; Couplings; Ising model; Optoelectronic devices; Arbitrary couplings; Combinatorial optimization problems; Computing methods; Ising spins; Optimisations; Paradigm shifts; Performance; Real-world; Real-world problem; Traditional computing; Parametric oscillators"
"https://www.scopus.com/pages/publications/105047162016?origin=resultslist","Electric vehicle (EV); Hybrid energy system (HES); Renewable energy system (RES); Smart building (SB); Smart charging","Charging time; Computational efficiency; Cost reduction; Electric vehicles; Energy policy; Genetic algorithms; Heuristic algorithms; Hybrid power; Intelligent buildings; Renewable energy; Scheduling algorithms; Smart homes; Sustainable development; Electric vehicle; Electric vehicle charging; Energy cost; Energy systems; Hybrid energy system; Renewable energies; Renewable energy system; Smart building; Smart charging; Particle swarm optimization (PSO)"
"https://www.scopus.com/pages/publications/105046591197?origin=resultslist","Adaptive strategies; Fractional moments; Multiplicative exact dimension reduction model; Sparse grid integration; Structural reliability analysis","Integral equations; Integration; Inverse problems; Mathematical transformations; Method of moments; Nonlinear analysis; Reliability analysis; Structural analysis; Adaptive strategy; Dimension reduction model; Fractional moments; Integration method; Moments method; Multiplicative exact dimension reduction model; Performance functions; Probability densities; Sparse grid integrations; Structural reliability analysis; Probability density function"
